MHz;mV
0.17127991;0.02326661
0.17166138;0.02488216
0.17204285;0.02591001
0.17242432;0.02872735
0.17280579;0.0267036
0.17318726;0.0198383
0.17356873;0.01011381
0.1739502;0.00585593
0.17433167;0.0045142
0.17471313;0.00734251
0.1750946;0.01148243
0.17547607;0.01490438
0.17585754;0.01771166
0.17623901;0.01464092
0.17662048;0.00808388
0.17700195;0.0072706
0.17738342;0.01517406
0.17776489;0.02043276
0.17814636;0.02332953
0.17852783;0.02597455
0.1789093;0.02931103
0.17929077;0.02516869
0.17967224;0.01905492
0.18005371;0.01481455
0.18043518;0.01036565
0.18081665;0.00719821
0.18119812;0.00445812
0.18157959;0.00381448
0.18196106;0.01054627
0.18234253;0.01528177
0.182724;0.01484449
0.18310547;0.00801423
0.18348694;0.00449594
0.18386841;0.0075769
0.18424988;0.00904798
0.18463135;0.01103768
0.18501282;0.01576143
0.18539429;0.01854552
0.18577576;0.01606141
0.18615723;0.01362883
0.1865387;0.01276547
0.18692017;0.01049076
0.18730164;0.00800808
0.18768311;0.00809192
0.18806458;0.00732612
0.18844604;0.00757091
0.18882751;0.00758245
0.18920898;0.00953238
0.18959045;0.010894
0.18997192;0.01241109
0.19035339;0.01197344
0.19073486;0.01159859
0.19111633;0.0127692
0.1914978;0.01509311
0.19187927;0.01980244
0.19226074;0.02151514
0.19264221;0.01923877
0.19302368;0.01625254
0.19340515;0.01079688
0.19378662;0.00500789
0.19416809;0.00233986
0.19454956;0.00982322
0.19493103;0.0172436
0.1953125;0.01918769
0.19569397;0.01356194
0.19607544;0.00560177
0.19645691;0.00121625
0.19683838;0.00198225
0.19721985;0.0032616
