date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 15:40:32	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:34	1500 Hz	13 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:36	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:38	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:40	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:42	1500 Hz	13 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:44	1500 Hz	14 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:46	1500 Hz	13 W	1,8E-5 mbar	1E-4 mbar
2020-02-27, 15:40:48	1500 Hz	13 W	1,7E-5 mbar	1E-4 mbar
2020-02-27, 15:40:50	1500 Hz	14 W	1,7E-5 mbar	1E-4 mbar
2020-02-27, 15:40:52	1500 Hz	14 W	1,7E-5 mbar	1E-4 mbar
2020-02-27, 15:40:54	1500 Hz	14 W	1,7E-5 mbar	1E-4 mbar
2020-02-27, 15:40:56	1500 Hz	14 W	1,7E-5 mbar	1E-4 mbar
2020-02-27, 15:40:58	1500 Hz	13 W	1,7E-5 mbar	1E-4 mbar
