us;mV
-4.32630209;168.3096
-4.32130209;171.8955
-4.31630209;168.3096
-4.31130209;171.8955
-4.30630209;168.3096
-4.30130209;167.3788
-4.29630209;168.3096
-4.29130209;167.3788
-4.28630209;168.3096
-4.28130209;167.3788
-4.27630209;168.3096
-4.27130209;167.3788
-4.26630209;163.7776
-4.26130209;167.3788
-4.25630209;168.3096
-4.25130209;162.8468
-4.24630209;168.3096
-4.24130209;162.8468
-4.23630209;163.7776
-4.23130209;162.8468
-4.22630209;163.7776
-4.22130209;162.8468
-4.21630209;163.7776
-4.21130209;162.8468
-4.20630209;163.7776
-4.20130209;162.8468
-4.19630209;163.7776
-4.19130209;162.8468
-4.18630209;159.2456
-4.18130209;162.8468
-4.17630209;159.2456
-4.17130209;162.8468
-4.16630209;159.2456
-4.16130209;162.8468
-4.15630209;159.2456
-4.15130209;162.8468
-4.14630209;159.2456
-4.14130209;162.8468
-4.13630209;159.2456
-4.13130209;162.8468
-4.12630209;159.2456
-4.12130209;158.33
-4.11630209;159.2456
-4.11130209;158.33
-4.10630209;159.2456
-4.10130209;158.33
-4.09630209;159.2456
-4.09130209;158.33
-4.08630209;159.2456
-4.08130209;158.33
-4.07630209;159.2456
-4.07130209;153.798
-4.06630209;159.2456
-4.06130209;153.798
-4.05630209;154.7136
-4.05130209;153.798
-4.04630209;154.7136
-4.04130209;153.798
-4.03630209;154.7136
-4.03130209;153.798
-4.02630209;154.7136
-4.02130209;153.798
-4.01630209;154.7136
-4.01130209;153.798
-4.00630209;154.7136
-4.00130209;153.798
-3.99630209;154.7136
-3.99130209;153.798
-3.98630209;154.7136
-3.98130209;153.798
-3.97630209;154.7136
-3.97130209;153.798
-3.96630209;150.1816
-3.96130209;153.798
-3.95630209;150.1816
-3.95130209;153.798
-3.94630209;150.1816
-3.94130209;149.2813
-3.93630209;150.1816
-3.93130209;153.798
-3.92630209;150.1816
-3.92130209;149.2813
-3.91630209;150.1816
-3.91130209;149.2813
-3.90630209;145.6496
-3.90130209;149.2813
-3.89630209;150.1816
-3.89130209;149.2813
-3.88630209;145.6496
-3.88130209;144.7493
-3.87630209;145.6496
-3.87130209;149.2813
-3.86630209;145.6496
-3.86130209;144.7493
-3.85630209;145.6496
-3.85130209;144.7493
-3.84630209;145.6496
-3.84130209;144.7493
-3.83630209;145.6496
-3.83130209;144.7493
-3.82630209;141.1023
-3.82130209;144.7493
-3.81630209;141.1023
-3.81130209;144.7493
-3.80630209;141.1023
-3.80130209;144.7493
-3.79630209;145.6496
